date,forecasted_sales
2016-04-25,1037.1045481467463
2016-04-26,2168.0905331614954
2016-04-27,1778.1607829690392
2016-04-28,1239.5736924080882
2016-04-29,1128.3342801371698
2016-04-30,893.2312600074252
2016-05-01,1082.9932774272904
2016-05-02,1224.191857040167
2016-05-03,1561.704255589383
2016-05-04,1807.028850762432
2016-05-05,1292.3520523004356
2016-05-06,856.9166122768024
2016-05-07,1203.5262874193104
2016-05-08,961.1776303573038
2016-05-09,1285.7760926196067
2016-05-10,1624.2513331410464
2016-05-11,1435.042437368211
2016-05-12,1414.571645912679
2016-05-13,987.1095231410563
2016-05-14,1436.5959621686252
2016-05-15,1186.245142264067
2016-05-16,982.527346524034
2016-05-17,1876.0453964444223
2016-05-18,1685.0767372776943
2016-05-19,1355.0164347162488
2016-05-20,990.2244699143328
2016-05-21,1173.9651900717201
2016-05-22,1135.6640232515558
2016-05-23,1067.182135063605
2016-05-24,1549.7809411723667
