date,actual_sales,predicted_sales,error,absolute_error
2015-04-14,1363,1404.05861186465,-41.05861186464995,41.05861186464995
2015-04-14,563,453.8686914205848,109.13130857941519,109.13130857941519
2015-04-14,280,253.3131958895384,26.686804110461594,26.686804110461594
2015-04-14,544,573.0007847272093,-29.000784727209293,29.000784727209293
2015-04-14,1940,1931.6423314683032,8.357668531696845,8.357668531696845
2015-04-14,1628,1530.2557667992269,97.74423320077312,97.74423320077312
2015-04-14,1729,1924.774307593114,-195.77430759311392,195.77430759311392
2015-04-14,791,804.5741654793858,-13.574165479385783,13.574165479385783
2015-04-14,589,553.501920255677,35.498079744323036,35.498079744323036
2015-04-14,808,837.9866845382406,-29.986684538240638,29.986684538240638
2015-04-14,212,198.90525515667602,13.09474484332398,13.09474484332398
2015-04-14,233,265.82544990948577,-32.82544990948577,32.82544990948577
2015-04-14,633,591.3607525688444,41.63924743115558,41.63924743115558
2015-04-14,1015,1052.8883271850277,-37.88832718502772,37.88832718502772
2015-04-14,294,325.76893520663947,-31.76893520663947,31.76893520663947
2015-04-14,3373,3144.824638190763,228.17536180923707,228.17536180923707
2015-04-14,245,209.02037983697022,35.97962016302978,35.97962016302978
2015-04-14,2354,2450.9386445006776,-96.93864450067758,96.93864450067758
2015-04-14,692,791.2797196749372,-99.27971967493716,99.27971967493716
2015-04-14,910,940.0208531423785,-30.02085314237854,30.02085314237854
2015-04-14,438,406.9611794177015,31.038820582298513,31.038820582298513
2015-04-14,785,784.7013490315658,0.2986509684342309,0.2986509684342309
2015-04-14,272,325.9894697098246,-53.98946970982462,53.98946970982462
2015-04-14,1980,2233.4557744019844,-253.4557744019844,253.4557744019844
2015-04-14,357,309.2769779014772,47.72302209852279,47.72302209852279
2015-04-14,285,365.6484183548168,-80.64841835481678,80.64841835481678
2015-04-14,570,612.3968917795025,-42.39689177950254,42.39689177950254
2015-04-14,3536,3386.7827988359354,149.2172011640646,149.2172011640646
2015-04-14,2165,2414.0990341948313,-249.09903419483135,249.09903419483135
2015-04-14,3013,2152.694132893817,860.3058671061831,860.3058671061831
2015-04-15,1439,1343.725710387026,95.27428961297392,95.27428961297392
2015-04-15,688,595.0174545080666,92.98254549193337,92.98254549193337
2015-04-15,631,617.1057130925393,13.894286907460696,13.894286907460696
2015-04-15,486,580.225701057426,-94.22570105742602,94.22570105742602
2015-04-15,400,413.7845163592468,-13.784516359246823,13.784516359246823
2015-04-15,2370,2396.760690644592,-26.76069064459216,26.76069064459216
2015-04-15,966,937.0732588266826,28.926741173317396,28.926741173317396
2015-04-15,886,906.523387540158,-20.523387540157955,20.523387540157955
2015-04-15,420,339.1317626271002,80.86823737289978,80.86823737289978
2015-04-15,451,330.5333568293089,120.4666431706911,120.4666431706911
2015-04-15,805,744.8155174856684,60.18448251433165,60.18448251433165
2015-04-15,1092,1092.9567925843655,-0.9567925843655303,0.9567925843655303
2015-04-15,233,237.5294012654756,-4.529401265475599,4.529401265475599
2015-04-15,375,316.76227667242915,58.23772332757085,58.23772332757085
2015-04-15,491,508.16514463342355,-17.16514463342355,17.16514463342355
2015-04-15,241,284.88763858055273,-43.88763858055273,43.88763858055273
2015-04-15,807,782.4145553767553,24.58544462324471,24.58544462324471
2015-04-15,2473,2444.2782680538257,28.72173194617426,28.72173194617426
2015-04-15,3379,3414.345502603081,-35.34550260308106,35.34550260308106
2015-04-15,2046,2016.990307818099,29.009692181901073,29.009692181901073
2015-04-15,215,237.47069960816788,-22.470699608167877,22.470699608167877
2015-04-15,633,617.8175309817947,15.182469018205325,15.182469018205325
2015-04-15,265,253.4088276151482,11.591172384851802,11.591172384851802
2015-04-15,3632,3277.183793628072,354.8162063719278,354.8162063719278
2015-04-15,2324,2409.8708783864577,-85.87087838645766,85.87087838645766
2015-04-15,1433,1515.1019484341691,-82.10194843416912,82.10194843416912
2015-04-15,2443,2280.72815012763,162.27184987236978,162.27184987236978
2015-04-15,1921,1851.8025589533272,69.1974410466728,69.1974410466728
2015-04-15,836,797.7330345417591,38.26696545824086,38.26696545824086
2015-04-15,309,324.77951275084683,-15.779512750846834,15.779512750846834
2015-04-16,574,542.3995636060192,31.60043639398077,31.60043639398077
2015-04-16,259,343.95058483993006,-84.95058483993006,84.95058483993006
2015-04-16,907,870.7349142473594,36.26508575264063,36.26508575264063
2015-04-16,617,596.025509640908,20.974490359091988,20.974490359091988
2015-04-16,562,601.6107855234158,-39.61078552341576,39.61078552341576
2015-04-16,1511,1434.227556671069,76.7724433289311,76.7724433289311
2015-04-16,1916,1879.8787906717478,36.121209328252235,36.121209328252235
2015-04-16,3450,3311.986917711333,138.0130822886672,138.0130822886672
2015-04-16,828,853.9046749687424,-25.90467496874237,25.90467496874237
2015-04-16,2575,2603.567841862349,-28.567841862348814,28.567841862348814
2015-04-16,1482,1348.6182301258289,133.38176987417114,133.38176987417114
2015-04-16,2464,2332.169046314118,131.83095368588192,131.83095368588192
2015-04-16,418,412.97287568519823,5.0271243148017675,5.0271243148017675
2015-04-16,2090,2092.8184155958124,-2.8184155958124393,2.8184155958124393
2015-04-16,1116,1084.5576661919379,31.44233380806213,31.44233380806213
2015-04-16,231,358.21429800010463,-127.21429800010463,127.21429800010463
2015-04-16,535,465.5341476267686,69.46585237323143,69.46585237323143
2015-04-16,675,650.3172830176784,24.682716982321608,24.682716982321608
2015-04-16,1953,2006.6764701191764,-53.67647011917643,53.67647011917643
2015-04-16,662,822.1329231076447,-160.13292310764473,160.13292310764473
2015-04-16,226,351.1838979305134,-125.18389793051341,125.18389793051341
